"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USC00044701","LAKEPORT, CA US","1970-06-03",,,"0.00","0.0","0.0",,"102","55","97"
"USC00044701","LAKEPORT, CA US","1970-06-04",,,"0.00","0.0","0.0",,"100","50","98"
"USC00044701","LAKEPORT, CA US","1970-06-05",,,"0.00","0.0","0.0",,"98","53","89"
"USC00044701","LAKEPORT, CA US","1970-06-06",,,"0.00","0.0","0.0",,"92","50","90"
"USC00044701","LAKEPORT, CA US","1970-06-07",,,"0.00","0.0","0.0",,"90","48","80"
"USC00044701","LAKEPORT, CA US","1970-06-08",,,"0.20","0.0","0.0",,"80","49","53"
"USC00044701","LAKEPORT, CA US","1970-06-09",,,"0.14","0.0","0.0",,"68","49","67"
"USC00044701","LAKEPORT, CA US","1970-06-10",,,"0.00","0.0","0.0",,"77","46","75"
"USC00044701","LAKEPORT, CA US","1970-06-11",,,"0.00","0.0","0.0",,"78","43","75"
"USC00044701","LAKEPORT, CA US","1970-06-12",,,"0.00","0.0","0.0",,"80","41","75"
"USC00044701","LAKEPORT, CA US","1970-06-13",,,"0.00","0.0","0.0",,"78","47","73"
"USC00044701","LAKEPORT, CA US","1970-06-14",,,"0.01","0.0","0.0",,"75","49","73"
"USC00044701","LAKEPORT, CA US","1970-06-15",,,"0.00","0.0","0.0",,"85","44","84"
"USC00044701","LAKEPORT, CA US","1970-06-16",,,"0.00","0.0","0.0",,"86","49","84"
"USC00044701","LAKEPORT, CA US","1970-06-17",,,"0.00","0.0","0.0",,"87","48","85"
"USC00044701","LAKEPORT, CA US","1970-06-18",,,"0.00","0.0","0.0",,"94","47","92"
"USC00044701","LAKEPORT, CA US","1970-06-19",,,"0.00","0.0","0.0",,"102","55","100"
"USC00044701","LAKEPORT, CA US","1970-06-20",,,"0.00","0.0","0.0",,"103","58","98"
"USC00044701","LAKEPORT, CA US","1970-06-21",,,"0.00","0.0","0.0",,"104","59","100"
"USC00044701","LAKEPORT, CA US","1970-06-22",,,"0.00","0.0","0.0",,"102","62","100"
